Study_Hours,Attendance_%,Previous_Marks_%,Assignment_Score_%,Pass
4.4,82.1,45.7,41.8,0
9.6,54.2,89.6,49.5,1
7.6,58.1,67.8,42.4,1
6.4,94.9,85.5,36.2,1
2.4,80.3,57.6,38.4,0
2.4,50.5,89.3,62.3,0
1.5,55.1,61.4,44.4,0
8.8,83.2,40.6,55.5,1
6.4,50.3,89.8,65.2,1
7.4,58.0,45.0,78.3,1
1.2,77.4,57.6,32.8,0
9.7,84.6,92.3,86.0,1
8.5,82.6,92.3,74.0,1
2.9,61.2,71.5,35.7,0
2.6,85.6,74.8,91.2,0
2.7,61.9,64.7,94.5,0
3.7,66.3,56.1,34.3,0
5.7,87.3,58.1,49.4,1
4.9,82.5,77.0,86.4,0
3.6,92.5,81.4,82.4,0
6.5,82.9,83.5,42.9,1
2.3,78.4,83.4,44.7,0
3.6,54.7,45.0,55.9,0
4.3,68.4,67.2,63.9,0
5.1,63.3,43.2,73.3,0
8.1,62.2,70.2,55.8,1
2.8,98.7,64.3,62.4,0
5.6,69.7,88.8,82.3,1
6.3,94.6,59.3,32.6,1
1.4,81.6,46.4,47.7,0
6.5,89.7,47.9,79.9,1
2.5,75.1,81.9,92.7,1
1.6,78.8,74.0,65.8,0
9.5,74.6,45.6,67.2,1
9.7,59.8,44.6,37.5,1
8.3,86.1,78.6,61.3,1
3.7,64.0,44.0,67.3,0
1.9,51.2,85.2,47.0,0
7.2,82.3,78.8,48.8,1
5.0,58.9,44.5,56.4,0
2.1,97.0,44.7,31.4,0
5.5,97.7,94.3,52.5,1
1.3,95.7,60.6,44.8,0
9.2,68.5,60.4,52.9,1
3.3,50.8,84.7,38.4,0
7.0,96.4,92.1,92.3,1
3.8,71.4,94.2,71.6,0
5.7,98.3,81.4,77.5,1
5.9,98.2,60.7,85.2,0
2.7,92.7,44.6,64.9,0
9.7,64.7,82.7,36.1,1
8.0,69.3,70.7,67.6,0
9.5,92.6,63.3,71.1,1
9.1,65.8,89.8,82.2,1
6.4,58.5,46.1,60.2,0
9.3,77.8,67.1,38.9,1
1.8,96.8,40.6,49.9,0
2.8,84.8,65.8,55.4,1
1.4,78.5,43.1,75.2,0
3.9,54.9,46.5,70.0,0
4.5,80.8,46.5,54.9,0
3.4,99.5,75.7,99.1,0
8.5,57.0,81.0,72.4,1
4.2,75.9,72.1,46.6,0
3.5,93.9,92.9,37.1,0
5.9,87.0,60.6,40.7,1
2.3,84.9,55.7,47.2,0
8.2,85.1,87.8,41.2,1
1.7,68.0,52.3,43.1,0
9.9,64.7,93.0,50.0,1
8.0,90.5,40.7,42.1,1
2.8,90.5,93.3,92.8,1
1.0,93.4,42.4,35.6,0
8.3,95.7,89.0,66.7,1
7.4,75.6,69.0,58.7,1
7.6,75.1,94.6,98.8,1
7.9,89.9,44.1,37.8,1
1.7,82.5,70.5,57.8,0
4.2,85.1,93.3,97.9,1
